variable,desc,alias,level,section,scale,subscale,aggregate,aggregate_ref,type,required,condition,sum_type,MAX,option_1,option_2,option_3,option_4,option_5,option_6,option_7,option_8,option_9
#,,,,,,,,,,,,,,,,,,,,,,
# Version eMAPS Scorer: 2020.01,,,,,,,,,,,,,,,,,,,,,,
# Version eMAPS: 6.3,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,MAX = ,,,63,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,
# STREETSCAPE,,,,,,,,,,MAX=,,,19,MIN=,-9,,,,,,,
### Driveways,,,,,,,,,,,,,-1,,,,,,,,,
Q_059_NEG,Entradas o callejones vehiculares,seg_entradas_neg,segment,streetscape,streetscape_negative,driveways,TRUE,,numeric,TRUE,,negative,-1,(>=1)=-1,*=0,,,,,,,
Q_059_l,Entradas o callejones vehiculares - Lado izquierdo,seg_entradas_izq,segment,streetscape,streetscape_negative,driveways,,Q_059_NEG,formula,TRUE,,positive,,[value],,,,,,,,
Q_059_r,Entradas o callejones vehiculares - Lado derecho,seg_entradas_der,segment,streetscape,streetscape_negative,driveways,,Q_059_NEG,formula,TRUE,,positive,,[value],,,,,,,,
### Number of motorized vehicle lanes ,,,,,,,,,,,,,-2,,,,,,,,,
Q_062,Número de carriles motorizados,seg_carriles_motorizados,segment,streetscape,streetscape_negative,motorized_vehicle_lanes,,,numeric,TRUE,,negative,-2,"(>0, <=2)=0","(>=3, <=4)=-1",(>5)=-2,"""6+""=-2",*=0,,,,
### Number of parked cars or on-street parking spots ,,,,,,,,,,,,,-1,,,,,,,,,
Q_063,"Estacionamientos o vehículos
estacionados",seg_estacionamientos,segment,streetscape,streetscape_negative,parked_cars,,,numeric,TRUE,,negative,-1,(>=1)=-1,*=0,,,,,,,
### Slope,,,,,,,,,,,,,-3,,,,,,,,,
Q_SLOPE,Pendiente,seg_pendiente,segment,streetscape,streetscape_negative,slope,,,slope,FALSE,,negative,-3,"(>=0, <=0.05)=0","(>0.05, <=0.1)=-1","(>0.1, <=0.15)=-2",(>0.15)=-3,*=0,,,,
,,,,,,,,,,,,,,,,,,,,,,
# AESTHETICS AND SOCIAL,,,,,,,,,,MAX=,,,4,MIN=,-2,,,,,,,
## Aesthetics and social positive,,,,,,,,,,MAX=,,,4,,,,,,,,,
### General maintenance of the stret segment,,,,,,,,,,,,,1,,,,,,,,,
Q_072,Mantenimiento general,seg_mantenimiento_general,segment,aesthetics_social,aesthetics_social_positive,segment_well_maintained,,,option,TRUE,,positive,1,A=1:Muy bueno(76/100%),B=1:Bueno (51/75%),C=0:Regular (26/50%),D=0:Malo (1/25%),C=0:Muy malo (0%),,,,
### Pleasant elements,,,,,,,,,,,,,1,,,,,,,,,
Q_070,Elementos agradables,seg_elementos_agradables,segment,aesthetics_social,aesthetics_social_positive,pleasant_elements,,,bool,TRUE,,positive,1,True=1,False=0,,,,,,,
### Gardens and landscaping,,,,,,,,,,,,,1,,,,,,,,,
Q_071,Jardines o paisajismo,seg_jardines_pasisajes,segment,aesthetics_social,aesthetics_social_positive,gardens_landscaping,,,bool,TRUE,,positive,1,True=1,False=0,,,,,,,
### Presence of walking or standing people,,,,,,,,,,,,,1,,,,,,,,,
Q_051,Presencia de personas caminando o sentadas,seg_acera_personas,segment,aesthetics_social,aesthetics_social_positive,obstacles,TRUE,,numeric,TRUE,,positive,1,(>=2)=1,*=0,,,,,,,
Q_051_l,Peatones circulando - Lado izquierdo,seg_acera_peatones_circ_izq,segment,aesthetics_social,aesthetics_social_positive,obstacles,,Q_051,formula,TRUE,,positive,,[value],,,,,,,,
Q_051_r,Peatones circulando - Lado derecho,seg_acera_peatones_circ_der,segment,aesthetics_social,aesthetics_social_positive,obstacles,,Q_051,formula,TRUE,,positive,,[value],,,,,,,,
Q_052_l,Peatones estacionarios - Lado izquierdo,seg_acera_peatones_est_izq,segment,aesthetics_social,aesthetics_social_positive,obstacles,,Q_051,formula,TRUE,,positive,,[value],,,,,,,,
Q_052_r,Peatones estacionarios - Lado derecho,seg_acera_peatones_est_der,segment,aesthetics_social,aesthetics_social_positive,obstacles,,Q_051,formula,TRUE,,positive,,[value],,,,,,,,
## Aesthetics and social negative,,,,,,,,,,MAX=,,,-2,,,,,,,,,
### Segment poorly maintained,,,,,,,,,,,,,-1,,,,,,,,,
Q_072,Mantenimiento general,seg_mantenimiento_general,segment,aesthetics_social,aesthetics_social_negative,segment_poorly_maintained,,,option,TRUE,,negative,-1,A=0:Muy bueno(76/100%),B=0:Bueno (51/75%),C=0:Regular (26/50%),D=-1:Malo (1/25%),C=-1:Muy malo (0%),,,,
### Graffiti,,,,,,,,,,,,,-1,,,,,,,,,
Q_073,Graffitis,seg_grafitis,segment,aesthetics_social,aesthetics_social_negative,graffiti,,,option,TRUE,,negative,-1,A=0:No existe,B=-1:Pocos,C=-1:Algunos,D=-1:Muchos,,,,,
,,,,,,,,,,,,,,,,,,,,,,
# SIDEWALKS,,,,,,,,,,MAX=,,,16,MIN=,-8,,,,,,,
## Sidewalk positive,,,,,,,,,,MAX=,,,16,,,,,,,,,
### Sidewalk existence,,,,,,,,,,,,,2,,,,,,,,,
Q_028,Existencia de Acera,seg_acera,segment,sidewalks,sidewalk_positive,sidewalk_existence,TRUE,,numeric,TRUE,,positive,2,"(>0, <=1)=1",(>=2)=2,*=0,,,,,,
Q_028_l,Existe acera - Lado izquierdo,seg_acera_izq,segment,sidewalks,sidewalk_positive,sidewalk_existence,,Q_028,bool,TRUE,,positive,,True=1,False=0,,,,,,,
Q_028_r,Existe acera - Lado derecho,seg_acera_der,segment,sidewalks,sidewalk_positive,sidewalk_existence,,Q_028,bool,TRUE,,positive,,True=1,False=0,,,,,,,
Q_028b_l,Existe lugar alternativo a acera - Lado izquierdo,seg_acera_alternativo_izq,segment,sidewalks,sidewalk_positive,sidewalk_existence,Q_028,,bool,TRUE,,positive,,True=1,False=0,,,,,,,
Q_028b_r,Existe lugar alternativo a acera - Lado derecho,seg_acera_alternativo_der,segment,sidewalks,sidewalk_positive,sidewalk_existence,Q_028,,bool,TRUE,,positive,,True=1,False=0,,,,,,,
### Good sidewalk quality,,,,,,,,,,,,,2,,,,,,,,,
